gene_id,SRR10229809,SRR10229810,SRR10229811,SRR10229812,SRR10229813,SRR10229814,SRR10229815,SRR10229816
gene_792,3743,1295,1843,633,21008,2639,880,12068
gene_793,1612,644,1573,759,12633,1175,488,9254
gene_794,82,46,101,41,777,82,34,376
gene_795,1918,918,796,420,9773,1660,766,7082
gene_796,104,24,62,26,746,65,29,401
gene_797,2,0,14,3,58,4,0,36
gene_798,485,198,559,213,3473,385,168,1954
gene_800,125,58,83,45,992,68,22,630
gene_801,80,45,58,36,554,89,70,398
gene_802,337,144,191,81,2225,312,147,1291
gene_803,465,168,472,188,2634,441,147,1838
gene_804,9,0,10,6,140,5,6,68
gene_805,13996,6232,10605,4431,169572,11601,5290,111248
gene_806,880,347,594,211,4514,637,248,2945
gene_807,15,10,0,0,52,0,6,43
gene_808,1555,592,1618,724,17146,1298,509,10676
gene_809,71,24,43,21,287,60,35,158
gene_811,368,108,184,66,1364,166,64,844
gene_814,640,275,327,139,2679,330,136,1812
gene_815,274,110,140,75,1089,230,109,600
gene_816,22286,9260,2620,1049,20697,18533,7478,9939
gene_817,116,58,45,6,342,105,48,172
gene_820,89,40,111,38,777,111,37,528
gene_821,252,110,194,107,1570,272,105,1029
gene_825,314,118,214,55,926,263,96,644
gene_826,1214,554,601,257,5652,882,400,2418
gene_827,160,57,60,24,754,101,44,476
gene_828,2424,990,1673,635,12141,1886,720,5368
gene_829,45,5,30,5,202,29,15,116
gene_830,66,30,67,30,465,61,14,276
gene_831,4,6,5,6,64,10,7,9
gene_832,294,120,160,84,1645,213,87,1133
gene_833,198,94,152,50,1076,177,66,487
gene_834,229,88,121,85,1616,225,114,941
gene_835,1141,357,616,248,6053,739,299,3102
gene_836,179,62,94,39,1720,100,43,1023
gene_837,665,286,269,111,2866,579,249,1766
gene_839,122,38,120,75,514,96,40,114
gene_840,159,60,43,23,382,134,47,303
gene_841,852,409,662,255,3893,815,284,2513
gene_842,961,356,672,259,5308,669,272,3850
gene_843,1640,506,1417,557,10572,1392,442,6036
gene_844,1290,503,852,291,5548,913,329,3365
gene_845,312,145,239,96,1711,223,89,1109
gene_846,469,233,431,143,2419,433,142,1725
gene_847,1270,533,738,355,7085,940,388,4442
gene_848,6874,3343,4281,1926,24275,5286,2395,19661
gene_849,168,67,116,67,1170,154,48,757
gene_850,123,41,82,36,3093,104,58,2044
gene_851,500,214,426,173,3640,429,159,2151
gene_852,1398,535,523,192,3741,1100,448,2282
gene_853,826,328,572,267,4720,695,321,3500
gene_854,267,102,263,116,1230,199,81,776
gene_855,159,38,102,43,457,124,29,308
gene_856,394,167,275,106,2295,266,124,1333
gene_857,1565,747,1079,565,12521,1538,737,9392
gene_858,24,0,19,8,157,20,3,119
gene_859,5,11,6,7,35,6,3,17
gene_860,118,30,39,11,550,71,19,307
gene_861,11373,3859,7859,2897,39563,8364,2879,21437
gene_862,10,0,5,12,57,10,0,52
gene_863,468,234,257,102,2433,393,140,1561
gene_865,688,338,482,219,2088,622,218,1819
gene_866,197,97,201,72,1399,177,101,967
gene_867,282,114,278,156,967,194,89,785
gene_868,260,138,316,129,2433,276,79,1578
gene_869,25,15,13,10,176,16,12,90
gene_871,490,164,216,114,2817,319,156,1643
gene_872,812,326,644,265,4709,679,264,2994
gene_873,182,60,121,61,1888,208,71,1229
gene_875,566,263,463,224,4353,602,229,3002
gene_876,969,389,814,380,9117,781,403,5390
gene_877,260,121,231,97,3267,180,73,2316
gene_878,1603,646,626,342,5367,1204,533,2951
gene_879,800,300,485,159,2530,539,174,1320
gene_880,90,60,75,26,831,52,52,574
gene_881,629,270,707,220,4424,517,213,2521
gene_882,434,202,287,100,1787,303,158,846
gene_883,172,66,122,64,925,126,78,461
