gene_id,SRR10229809,SRR10229810,SRR10229811,SRR10229812,SRR10229813,SRR10229814,SRR10229815,SRR10229816
gene_1795,8,4,12,0,25,14,10,12
gene_1796,15,9,12,9,124,17,0,87
gene_1797,1529,658,1003,481,7977,1314,460,4721
gene_1798,306,135,430,165,3155,270,107,2467
gene_1800,468,173,289,85,3560,266,109,2239
gene_1801,1388,413,1151,391,10525,969,347,6363
gene_1802,182,87,182,63,1618,195,66,935
gene_1803,12,0,12,4,153,11,8,86
gene_1804,1643,692,1034,453,10405,1174,485,5899
gene_1807,446,209,385,175,3295,282,128,2338
gene_1809,412,192,252,83,2594,322,111,1499
gene_1810,66,51,53,43,489,93,39,274
gene_1814,32268,12779,21026,7847,223636,24660,9930,149355
gene_1815,1087,426,778,319,5861,1058,323,4078
gene_1816,75,28,76,24,799,41,13,529
gene_1817,324,156,274,100,1661,273,100,1292
gene_1818,491,197,315,120,1815,450,200,1270
gene_1819,10116,3989,8556,3388,181509,8896,3346,114357
gene_1820,556,195,312,139,2477,363,125,1490
gene_1821,298,113,162,80,948,236,95,750
gene_1822,955,475,656,327,4526,609,310,3274
gene_1823,8,7,19,6,244,19,10,145
gene_1824,1901,807,1009,354,4519,1426,563,2253
gene_1825,134,48,111,52,761,102,37,569
gene_1826,803,353,854,305,5750,558,322,4068
gene_1828,131,73,70,22,352,88,34,242
gene_1829,273,149,270,102,1616,275,137,1001
gene_1830,14,8,11,0,27,8,3,12
gene_1831,153,65,34,17,464,95,44,360
gene_1833,182,40,79,47,869,110,55,436
gene_1834,294,162,249,92,1025,296,164,531
gene_1835,83,15,45,8,383,35,17,186
gene_1837,154,56,107,38,599,75,56,330
gene_1841,2066,864,1113,461,7741,1543,671,3548
gene_1842,595,181,405,161,2774,447,148,1893
gene_1843,221,78,206,81,1426,201,70,1177
gene_1844,14,0,5,4,36,31,0,35
gene_1845,5,7,4,0,34,4,0,14
gene_1846,20,21,38,7,213,20,4,113
gene_1847,291,109,214,70,1245,203,90,724
gene_1848,56,19,35,13,530,22,26,284
gene_1849,69,14,83,24,337,41,14,215
gene_1850,345,139,212,103,2582,235,125,1638
gene_1851,10449,4125,11200,4388,174363,8884,3403,113349
gene_1852,128,38,80,53,2221,88,39,1515
gene_1853,125,58,47,33,606,118,75,288
gene_1856,548,243,572,190,3498,480,148,2480
gene_1858,585,250,304,164,3285,525,178,1822
gene_1859,1169,503,665,280,3194,854,368,1724
gene_1860,471,196,255,140,1690,358,156,1416
gene_1862,543,261,411,195,4659,469,202,3119
gene_1864,80,21,135,33,1762,69,21,989
gene_1865,59,23,29,16,218,89,37,191
gene_1866,79,15,11,14,209,58,19,139
gene_1867,249,98,193,65,1206,166,50,534
gene_1868,396,196,217,105,1587,269,113,922
gene_1869,2778,1052,1962,730,13749,2204,891,6320
gene_1870,160,114,97,28,915,117,71,402
gene_1871,63,10,34,17,323,65,17,222
gene_1872,85,44,90,31,506,76,28,464
gene_1873,225,83,256,101,2193,184,77,1432
gene_1874,1194,545,498,209,4850,868,422,3427
gene_1875,1020,431,566,254,4667,777,368,3310
gene_1876,147,51,87,38,601,142,46,298
gene_1877,634,221,396,173,3942,461,174,2149
gene_1878,463,215,290,148,2310,431,165,1522
gene_1879,148,60,114,72,1153,75,45,585
gene_1880,1776,620,1344,543,10364,1323,482,6485
gene_1881,592,323,570,241,3653,574,212,2348
gene_1882,88,43,93,36,780,83,35,572
gene_1883,149,63,127,61,1240,95,76,838
gene_1884,301,112,297,105,2326,285,131,1661
gene_1885,386,158,324,76,1918,346,118,1257
gene_1886,3332,1446,3084,1263,28479,2625,1046,18299
gene_1887,203,71,168,71,1691,229,73,1007
gene_1888,2157,835,1294,506,11269,1459,591,5127
gene_1889,41,39,20,12,396,55,15,184
gene_1891,248,143,240,75,1779,263,82,1104
gene_1892,6,5,0,0,5,3,0,0
gene_1893,9,0,0,0,6,0,0,3
gene_1894,464,180,167,63,1600,363,142,775
gene_1895,141,70,142,100,871,150,66,702
gene_1896,876,421,496,209,4908,777,326,3210
gene_1898,365,130,179,69,1001,269,127,575
gene_1901,483,176,485,184,3344,417,135,2060
gene_1902,695,305,401,235,3645,461,231,2371
gene_1903,10,6,12,12,61,0,0,57
gene_1904,5,11,5,0,87,0,5,81
gene_1905,102,53,68,59,573,100,53,392
gene_1906,406,138,259,92,1898,281,116,1349
gene_1907,1137,450,568,210,5220,790,337,3237
gene_1908,460,180,312,142,2312,377,136,1268
gene_1909,322,126,214,89,1833,318,114,1043
gene_1910,858,325,692,350,6580,731,275,4614
gene_1911,1489,567,840,318,9222,1258,474,5603
gene_1912,6,1,0,0,21,2,2,25
gene_1913,12,12,12,8,68,14,11,74
gene_1914,27,18,14,8,98,16,5,88
gene_1916,17,5,0,6,39,28,0,55
gene_1917,16,10,7,2,112,2,3,25
gene_1918,12,5,34,7,153,12,7,50
gene_1919,114,47,102,44,761,59,19,401
gene_1920,392,165,239,98,1979,361,143,1120
gene_1921,14,0,11,0,18,10,0,18
gene_1923,142,65,92,25,594,158,47,304
gene_1924,34,12,13,16,164,21,12,103
gene_1927,140,36,24,17,475,71,45,212
gene_1928,25518,10850,15058,6232,138930,21618,9142,100589
gene_1929,54,15,44,20,460,39,17,154
gene_1931,98,16,46,16,274,38,20,217
gene_1932,55,39,62,34,330,73,30,184
gene_1933,12645,4970,9245,3446,77894,8561,3229,50835
gene_1934,962,357,603,270,5888,926,436,3798
gene_1936,4,0,0,0,16,0,0,0
gene_1937,8,1,2,0,6,9,0,12
gene_1938,4,0,0,0,4,0,0,0
gene_1939,2,0,3,0,6,6,0,6
gene_1941,1519,633,1286,622,10432,1285,534,6598
gene_1943,441,159,272,102,2603,308,83,1553
gene_1944,394,167,327,130,2791,268,134,1518
gene_1945,15,0,20,0,57,16,3,37
gene_1946,1860,768,1404,586,12271,1324,531,7555
gene_1947,428,222,321,153,1931,332,136,1225
gene_1948,528,213,241,100,1665,335,154,850
gene_1949,973,391,721,328,5696,790,288,3604
gene_1950,547,212,486,198,3307,397,199,2118
gene_1955,18,7,7,3,32,12,0,27
gene_1956,158,61,79,49,1345,117,44,805
gene_1958,106,53,70,20,239,70,45,128
gene_1959,15,6,17,8,194,24,14,116
gene_1963,345,159,302,98,2082,321,133,1246
gene_1964,368,203,202,76,1102,279,113,635
gene_1965,81,24,50,32,482,66,32,237
gene_1966,287,91,118,54,528,209,58,286
gene_1967,1207,545,885,427,7557,897,374,5140
gene_1968,69,40,136,61,415,63,25,236
gene_1969,1686,627,1167,492,7510,1392,559,3687
gene_1970,30,16,12,2,83,15,12,71
gene_1971,11,3,5,0,29,7,0,17
gene_1972,199,72,73,32,508,98,64,441
gene_1973,451,158,263,74,2155,295,124,1443
gene_1977,2580,1188,920,472,17431,2183,906,11994
gene_1978,4,0,3,0,7,0,0,3
gene_1984,4,0,0,0,25,0,0,6
gene_1985,388,175,266,130,2367,306,106,1535
gene_1986,126,34,45,20,462,84,30,252
gene_1987,1599,644,1644,618,11656,1187,547,7562
gene_1988,1653,661,854,384,10191,1481,633,7592
gene_1989,899,436,542,310,4616,623,235,2723
gene_1990,1282,529,584,201,8811,1044,415,5314
gene_1991,132,38,82,19,609,72,30,308
gene_1993,12,0,16,11,15,18,0,22
gene_1994,247,115,167,55,1057,194,76,739
gene_1995,102,51,138,52,936,88,19,577
gene_1996,424,213,359,108,2708,334,135,1802
gene_1997,411,164,245,120,1916,366,130,984
gene_1998,76,24,31,18,205,15,0,204
gene_1999,240,107,197,67,795,226,74,358
gene_2000,1328,489,1380,512,7410,927,446,4808
gene_2002,124,45,54,17,719,144,27,457
gene_2003,1680,720,690,289,7782,1316,525,4571
gene_2004,227,56,133,24,824,121,39,479
gene_2005,405,153,178,43,1336,280,71,665
gene_2006,146,71,105,40,642,108,45,403
gene_2007,36,12,9,6,130,21,9,41
gene_2008,14,12,0,10,69,7,6,32
gene_2011,5,0,0,0,21,0,0,27
gene_2014,53,13,17,20,298,61,20,160
gene_2015,1074,447,1195,550,6984,876,358,4922
gene_2016,213,62,73,39,626,152,64,369
gene_2017,2198,873,2262,917,16762,1635,700,11121
gene_3571,9,6,4,5,110,19,14,48
gene_3574,41,25,41,23,509,44,34,365
gene_3572,681,315,292,106,3140,563,186,1024
gene_3576,0,0,0,7,43,0,0,28
gene_3577,61,23,31,8,158,46,34,98
gene_3575,1049,433,789,328,5663,860,352,3291
gene_3578,299,165,285,97,1579,212,84,998
gene_3579,1069,397,662,232,5504,963,318,3001
gene_3580,698,277,327,108,2950,558,171,1913
gene_3581,879,372,461,196,4065,621,358,2595
gene_3582,652,334,542,211,4616,643,263,3022
gene_3583,349,148,259,110,2437,315,97,1310
gene_3584,176,75,108,79,1097,174,85,602
gene_3645,1,7,0,3,20,2,4,3
gene_3586,0,0,0,0,11,4,0,10
gene_3597,0,0,2,0,3,0,0,22
gene_3612,0,0,2,0,17,8,4,18
gene_3626,0,0,0,0,0,0,0,0
gene_3630,0,0,0,0,0,0,0,0
gene_3642,0,0,0,0,4,0,0,0
gene_3585,67,36,175,75,663,85,38,377
gene_3587,1845,678,2971,1518,10811,1391,532,6991
gene_3588,106,19,82,24,1451,90,23,797
gene_3589,2045,821,1082,411,9431,1584,601,5153
gene_3590,6,0,6,0,17,2,0,10
gene_3591,35,15,13,0,95,18,14,124
gene_3592,118,47,45,28,529,72,27,300
gene_3593,224,45,147,64,1599,156,77,1091
gene_3594,341,139,298,100,2372,278,109,1340
gene_3595,773,290,617,268,3684,540,213,2105
gene_3596,516,233,471,313,3215,505,202,1956
gene_3598,1596,646,1055,459,8122,1111,545,5031
gene_3599,426,164,270,105,2649,390,140,1381
gene_3600,882,441,947,461,8453,843,402,5035
gene_3601,313,128,199,67,1450,328,91,942
gene_3602,781,341,606,248,7383,765,319,3200
gene_3603,676,356,377,210,4589,621,300,3047
gene_3604,15,0,10,0,75,5,2,80
gene_3605,1361,697,705,276,6194,1394,636,4091
gene_3606,73,31,44,24,531,43,34,198
gene_3607,350,167,196,99,2193,252,153,1366
gene_3608,48,8,20,8,162,21,12,118
gene_3609,34,12,49,24,477,34,19,288
gene_3610,276,96,180,85,1316,185,95,790
gene_3611,217,85,123,43,1066,163,50,561
gene_3613,1786,711,1112,469,9020,1384,653,5604
gene_3614,186,71,174,86,1910,230,111,1295
gene_3615,392,193,286,139,2003,342,108,1114
gene_3616,525,257,519,198,4339,384,178,3367
gene_3617,709,267,904,398,4341,447,218,2669
gene_3618,4,0,0,0,14,0,0,3
gene_3619,27,2,0,0,34,3,3,28
gene_3620,303,150,104,45,1113,149,71,792
gene_3621,297,174,160,71,1212,173,80,870
gene_3622,2,0,2,0,25,0,0,6
gene_3623,1007,477,529,224,3743,766,304,3205
gene_3624,374,124,457,212,2308,311,112,1361
gene_3625,361,166,291,139,1510,295,176,823
gene_3627,9,5,13,5,131,15,0,146
gene_3628,86,34,85,28,552,82,30,269
gene_3629,257,66,82,32,576,165,53,358
gene_3631,205,79,100,64,668,176,73,315
gene_3632,42,15,16,8,90,27,2,49
gene_3633,238,80,224,70,1136,175,100,825
gene_3634,476,205,245,97,1518,309,130,959
gene_3635,55,23,26,11,159,46,22,91
gene_3636,739,300,356,111,3147,568,208,2255
gene_3639,18,0,20,5,158,0,4,99
gene_3640,155,95,113,40,1336,133,54,1048
gene_3641,140,31,52,16,326,49,20,249
gene_3643,595,312,497,238,8149,700,360,4970
gene_3644,500,175,430,137,2241,387,141,1477
gene_3231,0,0,11,3,27,5,0,24
gene_3258,0,0,5,0,78,15,0,67
gene_3268,0,0,0,0,12,0,0,0
gene_3290,0,0,3,5,48,3,2,45
gene_3310,0,5,6,0,33,3,0,4
gene_3312,0,6,0,3,10,3,1,9
gene_3313,0,0,0,0,4,0,0,0
gene_3323,0,0,0,0,4,0,0,0
gene_3334,0,0,0,0,102,0,0,0
gene_3342,0,0,0,0,5,0,0,2
gene_3361,0,0,0,0,39,0,0,6
gene_3362,0,0,0,0,15,0,0,0
gene_3381,0,0,7,6,69,0,5,21
gene_3382,0,0,0,0,7,0,0,8
gene_3420,0,0,0,0,0,0,0,0
gene_3423,0,0,0,0,0,0,0,0
gene_3424,0,0,0,0,0,0,0,0
gene_3432,0,0,0,0,3,0,0,4
gene_3434,0,0,0,0,3,0,0,0
gene_3438,0,0,0,0,0,0,0,0
gene_3440,0,0,0,0,21,8,0,8
gene_3456,0,0,2,4,52,10,2,14
gene_3475,0,2,0,0,4,2,0,8
gene_3524,0,0,21,5,97,12,0,65
gene_3525,0,0,0,0,25,0,0,26
gene_3526,0,5,17,0,53,5,0,40
gene_3534,0,0,0,0,0,0,0,0
gene_3536,0,0,0,0,0,0,0,0
gene_3537,0,0,0,0,0,0,0,4
gene_3550,0,0,0,0,35,7,0,23
gene_3560,0,0,0,0,12,0,0,9
gene_3564,0,0,0,0,11,0,0,4
gene_3213,430,170,246,76,3400,292,110,2068
gene_3214,35859,15205,27749,11319,415655,33870,14060,257617
gene_3215,54,16,30,19,462,66,43,222
gene_3216,37,17,32,20,200,27,17,335
gene_3217,654,254,504,224,7199,509,200,4984
gene_3218,266,81,198,75,1674,224,73,1068
gene_3219,1275,471,575,262,3866,811,319,2053
gene_3220,37,34,22,14,234,18,23,177
gene_3221,306,136,301,140,3647,256,101,1877
gene_3222,394,232,726,386,4539,350,189,3070
gene_3223,3136,1170,2282,932,16805,2351,1005,8980
gene_3224,9330,3789,2096,807,22048,6805,2980,10988
gene_3225,9872,4161,7511,3451,65620,7623,3256,40347
gene_3226,473,207,502,183,3596,426,104,2573
gene_3227,8,0,0,0,41,5,0,28
gene_3228,237,130,312,97,3854,200,68,2599
gene_3229,218,62,101,49,781,183,102,481
gene_3230,297,168,354,148,2548,308,125,1747
gene_3232,324,165,283,132,3169,338,142,2062
gene_3233,53,17,37,7,499,27,20,253
gene_3234,28,18,61,21,903,29,15,555
gene_3235,2223,1023,2215,1041,11758,1940,954,8742
gene_3236,707,278,452,206,2612,588,209,1761
gene_3237,65,35,65,20,616,77,35,328
gene_3238,322,88,159,32,912,188,76,459
gene_3239,1678,785,1098,417,8071,1263,461,5246
gene_3240,2379,1125,2843,1206,20470,1857,762,12931
gene_3241,84,24,44,14,617,52,12,312
gene_3242,167,57,176,52,1243,95,41,507
gene_3243,431,176,287,107,1611,232,111,1220
gene_3244,13,10,7,0,52,13,4,34
gene_3245,204,64,122,56,1366,178,70,736
gene_3246,41,13,33,3,225,47,7,102
gene_3247,614,350,568,222,3687,528,206,2393
gene_3248,336,141,236,89,2935,225,96,1857
gene_3249,1376,759,921,428,12944,1250,630,8002
gene_3250,249,134,268,133,4316,240,138,2591
gene_3251,906,347,611,254,4603,653,290,2825
gene_3252,343,143,290,92,2801,308,117,1698
gene_3253,2193,900,1270,560,14534,1642,620,7424
gene_3254,469,213,406,178,5634,396,190,3256
gene_3255,301,105,138,94,1993,195,75,1224
gene_3256,1619,681,795,298,7673,1383,596,4336
gene_3257,1566,544,1762,773,10344,1396,495,6833
gene_3259,1447,603,782,321,6605,1015,386,3811
gene_3260,505,204,421,141,2622,481,141,1680
gene_3261,202,136,37,17,500,199,88,351
gene_3262,1888,846,1152,546,6739,1609,831,4647
gene_3263,491,175,332,126,2906,458,184,1553
gene_3264,982,429,832,372,13575,836,321,7439
gene_3265,33,7,23,5,242,43,0,167
gene_3266,24,9,9,0,42,22,15,30
gene_3267,134,68,114,43,524,97,26,403
gene_3269,261,130,190,62,1327,248,106,827
gene_3270,370,113,170,97,1220,187,72,763
gene_3271,682,255,437,159,4439,579,223,2941
gene_3272,920,414,651,259,5786,634,277,3873
gene_3273,3343,1404,2055,852,16128,2444,1086,8555
gene_3274,231,68,181,51,1482,174,62,784
gene_3275,132,49,31,29,859,146,47,491
gene_3276,260,112,217,72,3463,367,138,924
gene_3277,1728,735,1558,618,11034,1494,626,7348
gene_3278,9,9,2,2,48,6,4,16
gene_3279,1779,753,579,317,6776,1485,639,3916
gene_3280,161,70,153,74,1357,155,46,871
gene_3281,1292,534,782,299,7186,943,429,2908
gene_3282,19,0,16,0,46,7,0,31
gene_3283,2005,669,882,326,9817,1408,435,6956
gene_3284,572,258,343,112,2479,446,175,1482
gene_3285,31,6,17,5,112,13,8,67
gene_3286,609,295,296,226,2717,421,204,1765
gene_3287,511,225,411,195,2551,454,213,1399
gene_3288,334,145,286,112,3294,356,100,2044
gene_3289,656,261,385,179,5534,528,211,2915
gene_3291,350,149,242,104,1492,261,82,1004
gene_3292,2059,834,1018,426,12763,1551,688,7775
gene_3293,11084,5144,9038,4382,129837,8083,3651,82396
gene_3294,177,54,132,55,997,192,37,589
gene_3295,809,362,1969,883,4305,777,476,2561
gene_3296,767,294,331,189,4879,561,221,2827
gene_3297,147,57,139,67,1225,98,38,970
gene_3298,101,30,78,35,752,84,41,489
gene_3299,949,365,627,225,6613,802,280,3815
gene_3300,76,54,53,31,536,78,23,467
gene_3301,165,67,177,67,1863,167,94,1216
gene_3302,289,113,167,98,2164,270,132,1388
gene_3303,513,258,299,128,2523,495,253,1769
gene_3305,180,94,92,24,626,167,68,421
gene_3306,79,34,85,48,474,82,25,284
gene_3307,324,153,273,73,2277,267,94,1659
gene_3308,13,0,8,5,22,5,4,17
gene_3309,350,153,248,95,2279,259,123,1560
gene_3311,2,2,0,0,4,2,0,0
gene_3314,41,5,25,8,113,5,7,68
gene_3315,2399,1010,1483,641,14650,2052,910,8846
gene_3316,2,2,2,0,39,1,3,21
gene_3317,1185,464,1369,598,9178,925,334,5645
gene_3318,311,156,194,49,1027,238,66,688
gene_3319,2760,1102,1544,670,12937,1954,828,6893
gene_3320,1758,726,1442,496,18108,1236,563,11134
gene_3321,15,12,0,0,42,18,4,23
gene_3322,4548,2043,4981,2525,37625,3953,1723,20401
gene_3324,65,29,32,11,338,43,15,216
gene_3326,298,115,223,95,2295,254,96,1456
gene_3327,439,185,235,102,2212,315,133,1208
gene_3328,44,28,76,34,241,76,30,141
gene_3329,185,71,138,60,1546,155,60,1072
gene_3330,318,96,215,84,1651,229,104,981
gene_3331,312,112,103,68,1433,223,88,694
gene_3333,615,280,378,169,2784,382,148,2365
gene_3335,20,9,22,17,174,16,14,129
gene_3336,534,219,265,123,2875,503,209,1433
gene_3337,119,75,124,67,667,163,58,668
gene_3338,704,306,551,190,4712,543,210,2151
gene_3339,780,355,511,207,6398,599,216,3506
gene_3340,160,62,76,27,665,142,74,382
gene_3341,366,186,254,84,3197,722,244,1311
gene_3343,2060,802,1164,522,7543,1388,561,4503
gene_3344,8,0,6,0,59,7,0,25
gene_3345,322,157,294,138,2190,251,103,1338
gene_3346,10,0,0,0,18,0,0,4
gene_3347,462,192,352,126,2087,347,147,1279
gene_3348,17,5,4,0,60,18,0,19
gene_3349,383,164,173,70,2241,239,69,1397
gene_3350,55,19,36,24,201,19,9,190
gene_3351,796,338,406,162,4056,496,271,2538
gene_3352,7,0,5,0,23,0,0,15
gene_3353,178,86,148,47,1987,151,50,1230
gene_3354,780,284,659,240,4613,548,270,3412
gene_3355,104,31,93,30,1004,103,33,643
gene_3356,4702,1941,2929,1203,22627,3511,1473,13662
gene_3357,514,216,356,167,3867,426,177,2177
gene_3358,42,24,14,16,288,46,9,163
gene_3359,355,134,303,124,3280,346,95,2595
gene_3360,305,121,349,192,3524,264,126,2548
gene_3363,391,173,234,121,2100,333,140,1106
gene_3364,129,37,75,46,687,82,33,426
gene_3365,206,80,190,64,1454,220,80,1022
gene_3366,333,115,131,95,2120,225,100,1231
gene_3367,427,154,188,69,3491,363,181,1985
gene_3369,103,51,34,20,354,71,24,312
gene_3370,172,82,73,44,697,181,70,414
gene_3371,501,207,262,118,1979,387,151,1421
gene_3372,34,12,26,12,279,21,21,227
gene_3373,26,18,12,11,244,27,12,100
gene_3374,201,68,102,47,1121,238,65,412
gene_3375,355,141,213,122,1491,224,108,1052
gene_3376,981,462,973,337,8870,845,412,6090
gene_3377,238,97,242,125,1170,170,82,782
gene_3378,512,235,369,163,2921,498,188,1887
gene_3379,77,32,40,17,447,58,20,310
gene_3380,23,9,17,4,228,20,0,127
gene_3383,192,74,111,53,977,191,52,730
gene_3384,4,0,27,4,29,0,0,17
gene_3385,514,243,329,135,2822,406,135,1888
gene_3386,812,372,154,51,1701,642,255,844
gene_3387,217,73,152,79,1046,152,69,782
gene_3388,83,20,35,25,317,46,20,271
gene_3389,720,321,716,315,4209,504,204,2784
gene_3390,2033,812,1512,607,12607,1440,599,7691
gene_3391,421,189,296,121,2253,320,115,1310
gene_3392,283,131,162,70,1471,212,133,916
gene_3393,1645,539,895,337,7599,1122,459,4056
gene_3394,9,0,9,0,48,7,7,11
gene_3395,3567,1480,2291,885,9734,2735,1015,6157
gene_3396,574,202,629,227,4360,475,163,3173
gene_3397,1034,409,454,233,3129,658,257,1957
gene_3398,508,228,229,120,1903,419,205,1151
gene_3399,103,52,32,31,324,93,20,218
gene_3400,163,74,113,45,885,121,51,528
gene_3401,51,8,33,12,571,15,8,326
gene_3402,871,365,555,237,8811,765,299,4357
gene_3403,6036,2305,4045,1528,46454,5253,2079,28575
gene_3404,7047,2962,2643,990,24339,4764,2088,15490
gene_3405,410,211,139,50,2025,417,163,1402
gene_3406,38030,15341,25709,10011,250989,28761,11424,165752
gene_3407,61,19,50,20,219,37,10,141
gene_3408,577,202,454,197,5283,375,160,2828
gene_3409,528,242,830,431,2714,466,207,1841
gene_3410,2509,1043,1879,848,14676,1867,731,9920
gene_3411,207,67,76,34,761,102,27,409
gene_3412,730,315,790,325,5093,569,269,3333
gene_3413,2167,894,1846,731,17560,1789,724,11062
gene_3414,1077,487,1062,580,10473,1066,421,5798
gene_3415,546,189,408,197,2554,391,153,1945
gene_3416,58,21,52,7,447,43,7,291
gene_3417,85,24,31,11,254,28,26,180
gene_3418,5265,2182,4531,1670,43580,4290,1598,28628
gene_3419,730,270,942,448,6852,754,239,6138
gene_3421,32,16,22,8,239,31,13,137
gene_3422,226,71,223,96,2139,181,81,1839
gene_3425,24,20,76,30,281,57,22,207
gene_3426,751,318,523,193,3108,483,205,1905
gene_3427,57,23,42,15,216,35,20,130
gene_3428,472,191,403,151,4226,488,206,2668
gene_3429,272,99,238,56,3075,193,51,2113
gene_3430,71,52,44,33,548,96,47,338
gene_3431,662,248,448,143,4905,546,191,2671
gene_3435,1918,786,1283,590,10064,1458,636,6225
gene_3436,552,260,387,187,3235,440,172,2111
gene_3437,327,117,284,123,2655,229,103,1581
gene_3439,86,35,42,7,114,78,20,80
gene_3441,5,3,2,3,5,4,0,10
gene_3442,932,399,547,184,2967,832,332,1512
gene_3443,32,29,32,9,329,28,8,280
gene_3444,654,252,487,194,3207,440,165,1732
gene_3445,877,326,566,229,3291,658,283,1965
gene_3446,204,93,175,62,620,201,99,382
gene_3447,496,170,442,183,4697,364,120,2902
gene_3448,559,174,420,159,2185,399,164,1293
gene_3449,736,299,537,273,5019,575,254,3296
gene_3450,152,82,173,83,1199,175,53,759
gene_3451,1280,540,885,315,6421,823,398,4057
gene_3452,3248,1282,1827,646,14217,2314,870,8989
gene_3458,436,155,280,119,1858,345,129,1167
gene_3459,2693,1008,1517,597,12875,1919,749,7750
gene_3460,220,66,116,42,1112,152,56,705
gene_3461,2284,978,1131,427,10927,1796,701,6201
gene_3462,499,220,227,65,3814,434,178,2170
gene_3463,3,3,0,0,51,0,3,57
gene_3464,21968,8231,15654,5966,116496,15771,5907,73227
gene_3465,130,46,84,28,462,99,31,319
gene_3466,274,97,135,53,1813,287,88,850
gene_3467,1051,414,555,191,7230,716,294,4385
gene_3468,72,33,38,22,685,58,22,365
gene_3469,773,290,316,126,3110,766,329,1163
gene_3473,35,20,12,5,232,21,19,115
gene_3474,12,6,0,3,64,3,0,56
gene_3476,347,159,239,93,1444,275,124,1007
gene_3477,2111,707,1704,524,6619,1775,591,4155
gene_3478,322,141,218,98,1517,318,123,1032
gene_3479,947,471,746,306,5508,686,344,3768
gene_3480,382,156,311,113,2847,277,120,2141
gene_3481,110,50,62,40,762,78,31,504
gene_3482,391,195,424,137,2549,320,106,1736
gene_3483,5291,2264,3659,1387,14339,3679,1686,12858
gene_3484,6880,2405,3880,1508,19526,5033,1935,11113
gene_3485,270,90,92,76,765,194,55,367
gene_3486,968,438,576,316,4806,675,257,3268
gene_3487,892,290,1025,417,8929,584,211,7218
gene_3488,2309,958,1621,629,11880,1632,586,7636
gene_3489,311,101,256,125,2100,245,81,1303
gene_3490,317,128,349,141,4614,289,90,2870
gene_3491,203,51,145,43,1604,128,55,973
gene_3492,72,16,100,27,737,63,14,462
gene_3493,2264,1056,1101,523,12524,1709,701,7331
gene_3494,207,56,139,63,913,100,33,375
gene_3495,378,190,438,153,2578,286,142,1680
gene_3496,79,30,45,18,392,36,36,208
gene_3497,83,29,60,22,555,53,33,247
gene_3498,379,170,223,133,1550,265,122,1052
gene_3499,637,162,379,161,3220,431,162,1829
gene_3500,1293,479,922,406,5258,942,352,3194
gene_3501,169,72,79,35,655,171,51,424
gene_3502,557,269,295,98,1583,317,157,735
gene_3503,2,1,1,1,1,1,1,4
gene_3504,654,264,277,133,2008,414,158,1279
gene_3505,5717,2650,3735,1498,21707,4289,1938,16469
gene_3506,717,285,477,235,4968,636,256,3310
gene_3507,1942,778,1091,435,11605,1455,622,7192
gene_3508,251,106,208,74,2093,211,82,1298
gene_3509,450,157,237,116,2034,208,116,942
gene_3510,1193,496,823,339,6956,806,243,4681
gene_3511,845,326,684,282,5904,493,232,4658
gene_3512,3,15,30,10,114,22,20,41
gene_3513,3128,1288,1809,729,11084,2065,872,6797
gene_3514,6,0,0,0,82,0,3,37
gene_3515,65,42,54,45,588,59,25,267
gene_3517,628,212,535,189,4211,447,178,2560
gene_3518,141,32,74,45,942,102,18,579
gene_3519,523,250,338,167,5323,499,235,3367
gene_3520,934,406,998,446,2852,615,294,1636
gene_3521,500,178,331,110,2374,341,135,1525
gene_3522,1661,681,1163,468,12161,1287,486,8018
gene_3523,156,47,94,29,932,108,78,582
gene_3527,32,9,18,4,201,11,5,169
gene_3528,24,13,33,13,331,28,16,209
gene_3530,16,7,2,1,87,11,13,87
gene_3531,595,251,551,240,4060,544,178,2553
gene_3532,471,195,354,121,3170,366,153,1517
gene_3533,24947,9720,22836,9885,189617,21639,8520,95703
gene_3535,276,83,174,85,1357,208,77,782
gene_3538,2370,1091,2123,759,15879,2125,855,10325
gene_3539,434,133,254,151,2148,235,107,1111
gene_3540,62,48,25,6,521,72,35,293
gene_3541,14,0,0,0,71,9,0,63
gene_3542,16,17,38,9,182,18,9,125
gene_3543,491,305,538,296,1567,496,224,1262
gene_3544,261,154,276,92,1501,305,113,948
gene_3545,394,138,335,144,2667,230,118,1774
gene_3546,1343,510,679,307,9585,942,372,6185
gene_3547,454,201,483,224,5627,373,154,3797
gene_3548,12,3,10,0,71,25,6,47
gene_3549,341,90,206,74,1003,222,98,530
gene_3551,1057,392,609,227,6633,883,360,3763
gene_3552,44,12,11,0,160,31,7,130
gene_3553,117,56,66,22,410,89,37,276
gene_3554,255,138,175,76,1230,229,80,734
gene_3555,4,0,9,0,56,3,0,42
gene_3556,3001,1390,2942,1103,18749,2584,962,13176
gene_3557,526,246,384,232,3854,462,169,2580
gene_3558,179,83,97,28,527,169,53,294
gene_3559,545,191,349,149,3385,289,138,2164
gene_3561,263,126,260,104,1733,220,55,1031
gene_3562,133,50,62,39,324,70,74,191
gene_3563,2305,1041,1661,640,10545,1791,682,7585
gene_3565,60,20,38,16,257,36,19,175
gene_3566,1289,574,871,407,9925,977,355,5701
gene_3567,342,109,262,64,1467,207,80,816
gene_3568,194,94,132,64,1682,287,104,824
gene_3569,497,261,281,186,3394,424,155,1939
gene_3570,695,393,422,225,3298,598,210,1556
gene_3947,57,34,158,69,243,31,17,78
