gene_id,SRR10229797,SRR10229798,SRR10229799,SRR10229800,SRR10229801,SRR10229802,SRR10229803,SRR10229804,SRR10229805
gene_11033,869,350,1075,359,1239,301,4696,2971,3470
gene_11034,2752,1189,2093,852,1399,528,3659,2485,2564
gene_11035,99,62,135,48,101,11,1185,677,686
gene_11036,35,21,68,16,67,16,351,226,246
gene_11037,783,341,675,282,582,200,3056,1907,1999
gene_11039,295,137,310,141,372,120,1067,581,836
gene_11040,386,165,429,172,502,198,2082,1927,1451
gene_11041,69,33,90,30,60,41,448,201,232
gene_11042,1864,910,2097,956,2650,856,11034,6858,7121
gene_11043,442,129,534,221,599,202,4205,2677,2704
gene_11044,14,5,5,0,0,0,6,10,0
gene_11045,475,230,587,319,948,325,2459,1513,1794
gene_11046,865,407,954,398,1011,311,3431,2236,2330
gene_11047,6112,2530,6681,2911,5082,1612,34634,22434,23222
gene_11048,7553,3204,8567,3622,11222,3591,50350,36525,44268
gene_11049,275,139,433,126,461,155,3717,2441,2688
gene_11050,913,443,1097,394,1229,399,4006,2884,2972
gene_11051,511,208,694,307,587,198,3511,2311,2282
gene_11052,62,38,90,28,124,43,956,637,544
gene_11053,287,95,338,153,356,110,1814,1027,1212
gene_11054,197,106,224,75,181,42,544,293,402
gene_11056,10350,4485,12670,4789,13849,4330,63839,45580,50226
gene_11057,1906,782,1982,791,1522,569,6572,4576,5262
gene_11058,237,105,258,98,311,96,1494,1064,1277
gene_11059,172,56,102,52,161,65,1489,832,1092
gene_11060,64,30,75,31,101,40,1156,395,387
gene_11061,5097,2218,6420,2647,6791,2281,38755,24205,30364
gene_11062,475,256,504,195,495,174,3073,1784,2222
gene_11063,333,145,366,129,404,120,1903,1097,1274
gene_11064,4472,1808,4703,1933,5599,1699,36827,20079,25424
gene_11065,774,329,766,398,1220,454,2256,1400,1533
gene_11066,25,11,28,7,38,14,104,55,52
gene_11067,1716,712,1578,771,1577,504,7712,3594,5147
gene_11069,3,7,0,3,0,0,0,9,18
gene_11070,3,0,0,0,4,0,12,14,15
gene_11071,97,33,143,29,127,46,581,452,592
gene_11072,466,195,536,209,508,160,2139,1317,1543
gene_11075,10,7,35,10,32,9,324,164,176
gene_11076,13,9,15,8,20,0,29,25,14
gene_11077,188,77,157,77,157,63,946,689,647
gene_11078,204,104,255,99,261,80,1574,939,1067
gene_11079,698,308,831,400,747,227,3780,2217,2798
gene_11082,946,378,1210,551,1804,595,7258,4338,5377
gene_11085,2156,958,1945,906,1686,624,8977,4229,5088
gene_11087,695,307,629,298,1036,319,5973,2180,1873
gene_11088,572,318,768,310,860,335,5539,3201,3687
gene_11089,5,7,19,0,23,7,98,42,68
gene_11090,16,0,0,0,9,0,77,43,23
gene_11091,14,5,11,0,11,8,131,75,40
gene_11092,208,83,187,64,338,126,1028,603,843
gene_11093,337,122,412,109,461,175,934,561,777
gene_11095,7,0,0,0,6,0,82,51,22
gene_11099,6,5,22,9,29,12,263,125,130
gene_11101,177,73,300,109,207,58,2273,1507,1502
gene_11102,20,0,5,0,4,0,31,35,11
gene_11103,95,22,75,36,83,56,608,441,507
