gene_id,SRR10229797,SRR10229798,SRR10229799,SRR10229800,SRR10229801,SRR10229802,SRR10229803,SRR10229804,SRR10229805
gene_2,73,36,85,28,51,10,221,171,112
gene_7,3,5,4,0,17,9,113,47,68
gene_6,4,6,6,0,0,0,12,6,0
gene_17,0,0,13,0,7,8,81,51,87
gene_12,28,20,33,31,49,5,154,107,128
gene_16,29,10,33,17,67,19,252,125,103
gene_4,950,411,1301,537,1096,370,17052,10852,12005
gene_21,7,3,2,0,18,4,10,16,18
gene_19,1157,546,1066,478,1093,303,4886,3312,3456
gene_20,1923,836,1816,739,1517,533,7335,4490,4883
gene_22,7983,3321,7157,2722,5472,1979,9051,6402,6508
gene_23,2225,924,1533,706,403,178,471,454,340
gene_24,20,11,14,0,18,5,58,28,38
gene_2158,8,10,20,0,24,0,52,40,40
gene_2156,96,59,78,31,117,37,242,173,142
gene_2157,1078,503,966,452,1220,374,1427,1041,898
gene_2159,2124,913,2492,948,2940,1075,13746,9014,9527
gene_2160,699,255,569,267,461,149,5578,3284,3304
gene_2161,214,105,204,91,185,79,1661,970,984
gene_2162,1962,823,2021,920,2697,921,4290,2861,2792
gene_2163,498,161,451,164,314,101,1277,911,970
gene_2164,196,83,206,75,331,97,2306,1294,1443
gene_2165,82,28,98,49,110,36,212,169,169
gene_2166,50,8,17,12,22,13,202,127,171
gene_2167,89,37,66,11,90,27,212,182,123
gene_2168,3,0,8,5,7,0,53,37,45
gene_2169,41,21,24,7,34,21,65,48,46
gene_2170,25,25,24,9,21,9,68,19,49
gene_2173,17,4,7,7,11,0,48,41,49
gene_2174,40,13,16,10,30,4,54,54,45
gene_2176,367,150,418,169,418,135,3740,2112,2458
gene_2177,387,163,539,241,660,246,2222,1105,1406
gene_2178,580,213,599,295,654,239,1203,833,911
gene_2180,20,7,10,17,26,0,53,31,74
gene_2181,73,42,109,29,87,37,841,444,470
gene_2182,33,21,80,6,64,22,494,246,282
gene_2183,20,6,26,7,9,6,85,63,34
gene_2184,48,16,59,23,44,20,251,204,191
gene_2185,19,13,10,8,37,0,151,62,103
gene_2186,0,0,0,0,7,4,44,19,18
gene_2187,70,20,90,31,97,26,415,281,277
gene_2188,443,153,564,190,499,219,2181,1484,2090
gene_2179,17316,7800,19732,8001,22124,7521,122090,77609,87765
gene_2194,80,21,91,39,158,67,1800,693,788
gene_2195,71,35,107,35,83,10,819,523,526
gene_2196,15,0,10,16,10,3,226,151,145
gene_2200,0,0,0,3,0,0,20,0,0
gene_2201,0,0,7,2,0,0,8,5,0
gene_2202,1,1,1,0,0,0,4,1,7
gene_2189,4159,1887,3165,1403,1929,703,7944,6504,5553
gene_2190,1089,485,1184,534,1445,507,4889,2705,2986
gene_2191,64,25,27,18,56,15,96,80,87
gene_2192,995,474,1163,483,1346,488,7248,3721,4903
gene_2197,687,243,817,326,750,242,2832,1562,1938
gene_2204,62,35,44,18,19,6,183,127,113
gene_2205,250,118,237,114,262,98,1028,634,692
gene_2206,9,13,23,0,8,2,72,55,24
gene_2209,5,5,15,0,5,0,36,26,19
gene_2210,23,0,19,0,10,6,80,29,45
gene_2207,1752,688,2066,896,2497,836,9723,6103,6797
gene_2214,42,7,50,17,37,14,519,316,317
gene_2215,17,0,0,0,0,0,25,16,3
gene_2218,46,31,85,37,63,35,443,307,286
gene_2211,16,17,6,10,24,11,60,48,37
gene_2212,2606,1064,2807,1148,3654,1226,10501,6198,7115
gene_2221,264,73,265,98,228,109,1091,677,751
gene_2223,78,48,85,52,68,22,758,463,462
gene_2224,4,0,11,0,6,0,14,6,10
gene_2225,2,0,0,0,2,0,7,0,6
gene_2226,57,20,58,26,76,44,565,378,328
gene_2230,437,178,398,152,352,134,2051,1222,1360
gene_2231,57,42,93,23,28,10,331,158,220
gene_2233,14,5,10,10,63,9,271,170,149
gene_2232,952,422,819,347,1563,583,1880,1023,1104
gene_2234,77,47,90,28,92,32,462,156,348
gene_2235,5,14,5,6,17,8,35,36,28
gene_2237,8,0,5,5,11,13,123,95,27
gene_2238,6,3,12,4,10,6,86,69,29
gene_2242,0,0,0,0,0,0,0,0,0
gene_2243,0,0,4,6,6,0,5,11,0
gene_2245,8,0,0,0,8,0,115,79,134
gene_2248,0,0,0,0,0,0,0,0,4
gene_2247,0,0,0,0,19,0,32,21,12
gene_2246,62,18,48,48,93,9,356,205,156
gene_2251,64,32,38,29,37,13,146,103,96
gene_2253,7,0,0,4,10,0,12,21,12
gene_2254,37,6,29,18,82,29,124,67,51
gene_2256,26,7,29,7,13,10,217,120,149
gene_2257,8,0,11,0,27,0,50,13,27
gene_2261,41,11,38,0,22,21,106,109,67
gene_2263,203,85,240,112,304,91,875,490,540
gene_2264,49,22,122,42,108,59,360,178,218
gene_2265,3,3,24,0,6,4,16,4,4
gene_2266,77,42,121,63,74,19,177,81,129
gene_2267,239,95,191,84,209,82,720,526,548
gene_2268,49,8,63,20,64,15,611,465,607
gene_2269,36,28,55,11,71,25,403,240,244
gene_2271,0,3,0,0,0,0,0,0,0
gene_2287,13,11,28,16,15,10,115,117,93
gene_2288,1291,567,923,406,1144,426,2257,1355,1893
gene_2290,341,158,423,162,569,152,5602,2704,3544
gene_2294,2,6,4,16,2,2,21,15,7
gene_2291,20,7,16,10,7,3,121,69,83
gene_2292,21,0,16,4,6,0,104,40,50
gene_2293,127,61,110,61,135,52,1263,957,778
gene_2295,580,266,526,243,553,167,2417,1498,1553
gene_2297,874,366,906,322,1139,437,4215,2205,2701
gene_2277,0,0,0,0,0,0,14,0,8
gene_2281,0,0,0,0,0,0,6,2,0
gene_2272,14,6,7,0,6,0,44,10,22
gene_2273,28,13,33,13,31,10,200,76,119
gene_2274,22675,10211,18563,7604,13771,4232,66981,46517,46717
gene_2275,173,82,287,128,253,124,1326,753,896
gene_2276,6,0,0,0,5,0,26,15,41
gene_2278,22,18,27,5,59,21,179,96,119
gene_2279,72,9,71,16,65,30,397,163,198
gene_2280,3,0,0,0,0,0,23,12,7
gene_2282,162,95,237,97,400,128,3153,1769,1728
gene_2283,784,359,743,310,639,182,3585,2067,2221
gene_2284,1576,749,1484,610,2218,635,6827,4490,4474
gene_2285,878,363,844,430,1109,347,4247,2482,3103
gene_2286,357,134,423,200,618,247,1464,1242,1021
gene_2298,913,469,780,331,608,216,1472,878,1067
gene_2299,46,21,69,31,62,37,543,188,166
gene_2300,323,91,381,144,378,142,2584,1535,1213
gene_2301,170,79,196,55,265,114,1189,567,752
gene_2302,27,15,14,12,38,13,231,79,131
gene_2303,294,153,291,154,634,214,2056,1481,1367
gene_2305,19,9,45,5,27,8,270,262,259
gene_2304,437,219,603,217,906,410,1619,1176,1206
gene_2306,71,26,79,5,46,8,240,220,161
gene_2307,26,5,32,19,31,8,72,99,51
gene_2308,0,4,0,0,0,2,8,10,8
gene_2309,8,0,3,0,6,2,16,20,12
gene_2310,7,0,0,0,0,0,14,7,9
gene_2316,6,0,7,2,6,5,48,51,26
gene_2317,7,6,9,9,9,3,86,81,30
gene_2320,7,0,7,2,3,0,24,31,26
gene_2323,153,88,132,42,86,34,593,418,514
gene_2324,110,27,125,66,134,57,490,338,456
gene_2328,61,21,109,50,168,48,534,359,451
gene_2327,2023,723,3264,1208,3772,1234,18164,10471,13493
gene_2329,24,0,10,5,11,3,49,59,80
gene_2335,28,0,21,12,19,4,162,137,77
gene_2337,241,95,308,109,451,175,2224,1172,1365
gene_2338,6,7,0,2,8,0,16,0,3
gene_2339,599,305,613,210,450,177,2269,1377,1641
gene_2342,207,113,175,89,231,107,1378,944,1076
gene_2347,31,14,53,24,16,4,72,21,43
gene_2348,10,0,6,5,0,2,28,7,3
gene_2349,33,16,30,9,44,23,469,287,264
gene_2340,1148,524,1085,427,1491,530,3128,2330,1913
gene_2341,1236,540,1391,544,1983,541,10930,6058,7348
gene_2351,4,0,8,0,4,10,116,72,96
gene_2352,26,14,25,7,14,10,169,93,128
gene_2355,8,3,0,0,7,0,33,14,13
gene_2358,0,6,0,0,2,3,31,17,25
gene_2361,23,14,22,16,20,0,66,41,34
gene_2362,24,0,20,0,13,8,20,22,20
gene_2368,153,55,154,33,109,29,227,179,198
gene_2372,3,0,17,8,0,12,108,74,102
gene_2371,14,0,0,0,0,0,103,70,60
gene_2375,7,0,0,0,7,4,27,43,25
gene_2369,4,0,6,5,8,8,9,15,35
gene_2379,6,2,13,4,24,13,168,131,127
gene_2380,37,12,28,7,22,7,263,195,121
gene_2381,235,132,236,75,117,62,1624,1035,916
gene_2383,8,0,8,0,0,0,15,9,5
gene_2388,3,0,0,0,10,0,13,14,10
gene_2382,1495,672,1848,712,2918,913,16545,9771,11457
gene_2390,22,34,33,10,33,14,84,60,44
gene_2391,2,0,12,0,0,0,4,4,4
gene_2395,99,70,254,103,250,65,680,350,697
gene_2397,0,0,3,0,0,0,11,4,4
gene_2401,0,0,0,0,0,0,0,0,0
gene_2400,85,40,105,48,182,50,860,624,668
gene_2402,3,0,0,0,0,0,6,4,0
gene_2405,308,115,308,126,462,183,1917,1343,1054
gene_2412,5,0,10,0,11,3,15,17,4
gene_2413,6,3,2,3,15,6,41,50,34
gene_2414,6,4,6,2,18,3,29,31,21
gene_2407,2537,1111,2775,1164,2499,665,6608,3261,3653
gene_2421,21,8,2,3,0,0,21,10,17
gene_2416,0,0,0,0,0,0,2,1,0
gene_2415,195,76,198,107,140,45,1501,1105,959
gene_2423,3,0,0,0,0,0,12,11,11
gene_2427,0,0,0,0,0,0,4,4,0
gene_2424,991,444,746,283,940,267,4682,2776,2970
gene_2432,0,0,0,0,0,0,8,13,4
gene_2433,14,0,8,6,9,3,23,0,24
gene_2434,7,0,12,6,15,0,25,24,43
gene_2436,132,48,164,38,175,48,356,242,286
gene_2439,14,0,13,0,40,11,122,122,98
gene_2440,30,12,41,12,43,16,123,99,131
gene_2437,1330,586,1796,678,2292,827,6430,3598,4763
gene_2445,6,18,0,0,23,0,64,32,19
gene_2446,10,13,29,2,29,4,106,72,76
gene_2447,38,24,42,35,34,26,154,110,116
gene_2442,980,469,1050,421,863,296,4709,2926,3145
gene_2448,0,0,6,0,0,0,17,26,21
gene_2450,178,67,306,93,301,86,965,834,865
gene_2452,6,5,4,5,10,2,30,30,20
gene_2451,751,325,895,380,1201,391,4299,3017,3742
gene_2453,39,15,25,0,13,9,34,46,23
gene_2454,13,4,19,7,8,14,19,37,18
gene_2456,10,0,11,17,19,0,125,78,39
gene_2455,413,164,558,252,1037,406,2184,1246,1500
gene_2457,5,0,0,0,0,0,3,0,0
gene_2461,7,4,10,11,20,11,76,41,50
gene_2459,3,5,2,0,3,8,12,14,22
gene_2460,498,261,478,175,291,85,1358,1045,1108
gene_2463,146,55,216,95,183,44,857,473,538
gene_2469,140,52,112,84,168,61,83,52,29
gene_2470,70,15,70,36,76,26,597,364,472
gene_2471,69,22,63,26,251,70,455,360,289
gene_2472,58,12,72,22,51,16,510,371,380
gene_2474,11,2,14,8,40,13,206,150,126
gene_2475,4,0,0,3,0,4,26,18,9
gene_2476,10,7,13,12,11,0,98,90,113
gene_2477,12,3,0,0,9,0,48,48,27
gene_2478,20,10,32,12,65,13,266,135,192
gene_2483,0,0,8,0,26,6,171,63,24
gene_2482,218,102,287,83,300,112,1407,1029,1057
gene_2487,27,14,23,5,24,10,124,127,164
gene_2488,17,15,0,8,21,0,136,92,100
gene_2489,13,7,16,9,6,0,18,27,17
gene_2491,1291,555,1921,830,2262,750,1325,632,559
gene_2493,11,0,5,0,0,0,17,22,7
gene_2495,19,0,12,9,22,5,117,77,33
gene_2498,17,7,22,15,40,8,94,45,58
gene_2492,2048,890,3533,1300,4260,1298,2975,1568,2017
gene_2502,177,76,177,63,163,57,549,485,453
gene_2504,45,27,33,11,37,0,220,209,279
gene_2514,0,0,8,0,4,0,29,33,31
gene_2515,9,0,27,10,3,0,69,41,24
gene_2512,531,200,1506,593,1854,596,17655,28534,33160
gene_2513,153,66,163,67,148,69,1236,780,882
gene_2516,17,14,32,17,20,6,356,158,213
gene_2519,229,106,268,94,200,57,1280,874,856
gene_2520,27,13,28,27,21,9,118,120,119
gene_2521,750,300,737,300,687,292,5565,3206,3861
gene_2522,62,22,112,30,78,40,748,359,517
gene_2526,4,0,0,0,0,0,4,0,4
gene_36,0,0,2,0,0,0,6,17,0
gene_39,0,0,0,0,8,0,4,0,4
gene_47,0,0,5,0,0,0,3,0,0
gene_48,0,0,0,0,0,0,0,0,4
gene_49,0,0,0,0,0,0,0,0,3
gene_50,0,0,0,0,0,0,3,0,0
gene_53,0,0,0,0,0,0,6,0,3
gene_54,0,3,13,0,12,4,137,59,44
gene_57,0,0,0,0,0,0,0,0,0
gene_58,0,0,0,0,0,0,0,7,0
gene_63,0,0,0,0,2,0,7,0,0
gene_64,0,0,0,0,0,0,0,0,6
gene_70,0,0,0,0,0,0,15,9,0
gene_73,0,9,0,7,0,0,201,0,196
gene_76,0,4,0,0,6,0,34,38,21
gene_81,0,0,0,0,0,0,0,0,8
gene_82,0,3,4,4,0,4,26,6,30
gene_83,0,0,11,3,7,2,7,6,0
gene_90,0,0,0,0,0,0,0,0,0
gene_92,0,0,0,0,0,0,0,0,0
gene_93,0,4,0,0,0,0,0,0,8
gene_98,0,0,0,0,17,6,25,47,28
gene_102,0,0,0,0,0,0,4,0,0
gene_103,0,0,0,0,0,0,0,0,0
gene_105,0,0,4,4,0,0,15,0,0
gene_118,0,0,0,0,0,0,9,6,3
gene_125,0,6,4,0,2,0,4,19,6
gene_140,0,0,4,4,0,0,9,16,16
gene_143,0,0,10,4,0,0,31,4,0
gene_144,0,0,0,0,0,0,0,0,0
gene_145,0,0,0,0,0,0,3,0,0
gene_148,0,0,0,0,0,0,0,0,0
gene_149,0,0,0,0,0,0,3,0,7
gene_150,0,0,0,0,0,0,57,33,23
gene_151,0,3,0,0,0,0,0,0,0
gene_155,0,0,0,0,0,0,18,7,11
gene_163,0,0,0,0,0,0,0,3,0
gene_165,0,4,0,0,0,0,11,10,3
gene_173,0,0,0,0,0,0,0,0,0
gene_174,0,0,0,0,0,0,0,0,0
gene_175,0,0,0,0,0,0,0,12,7
gene_176,0,0,10,0,0,0,10,0,13
gene_177,0,0,0,0,0,0,0,0,0
gene_178,0,0,7,3,5,0,32,15,9
gene_179,0,0,0,0,0,0,4,0,0
gene_180,0,0,0,2,0,0,0,2,0
gene_182,0,0,0,0,0,0,0,0,0
gene_185,0,0,0,0,0,3,0,0,0
gene_187,0,0,0,0,15,4,36,23,22
gene_216,0,0,4,0,0,0,6,0,5
gene_217,0,0,0,7,14,3,33,34,16
gene_245,0,0,0,0,0,0,0,0,0
gene_255,0,7,16,4,6,5,50,32,36
gene_280,0,0,0,0,0,0,0,2,0
gene_296,0,0,0,0,0,0,0,0,4
gene_353,0,4,0,4,27,7,64,44,53
gene_373,0,0,0,0,4,7,0,9,6
gene_446,0,0,0,0,0,0,4,4,0
gene_523,0,0,2,0,5,0,7,7,2
gene_574,0,0,0,0,0,0,0,0,0
gene_666,0,0,0,0,0,0,18,0,10
gene_737,0,0,0,0,0,0,7,0,8
gene_741,0,0,19,6,13,7,84,46,43
gene_762,0,0,0,0,0,0,0,0,0
gene_765,0,0,0,0,0,0,0,0,0
gene_766,0,0,7,2,0,0,14,23,4
gene_775,0,3,0,0,0,0,5,0,5
gene_777,0,0,0,0,8,2,17,4,12
gene_824,0,0,16,0,16,14,84,58,34
gene_847,0,0,6,0,6,0,52,16,32
gene_892,0,0,0,0,0,0,0,0,0
gene_897,0,0,5,5,7,0,57,26,52
gene_926,0,0,0,0,0,0,2,0,0
gene_929,0,12,6,0,0,5,22,13,11
gene_944,0,0,9,8,17,2,44,22,10
gene_959,0,0,0,0,0,0,3,0,3
gene_988,0,0,2,2,2,0,3,0,0
gene_1020,0,0,0,0,0,0,0,6,6
gene_1029,0,0,0,0,0,0,3,0,7
gene_1030,0,3,3,0,1,0,24,22,17
gene_1100,0,0,0,0,0,0,0,0,0
gene_1179,0,4,0,0,0,4,9,11,4
gene_1180,0,0,12,0,12,5,24,16,29
gene_1191,0,9,0,0,0,0,9,0,15
gene_1236,0,0,0,0,0,0,13,7,0
gene_1263,0,3,19,5,5,4,18,21,21
gene_1359,0,0,7,0,7,5,9,7,7
gene_1406,0,0,3,0,0,0,9,0,10
gene_1407,0,0,22,0,25,0,79,61,74
gene_1410,0,0,0,0,0,0,27,6,0
gene_1420,0,0,2,1,0,0,7,4,0
gene_1462,0,0,0,0,0,0,0,0,0
gene_1553,0,0,1,0,0,0,9,3,0
gene_1561,0,2,0,0,0,4,27,34,9
gene_1565,0,0,0,0,5,0,0,3,0
gene_1610,0,5,0,2,0,0,19,24,7
gene_1634,0,0,0,0,0,0,0,0,4
gene_1641,0,0,6,0,3,0,14,11,4
gene_1647,0,0,0,0,0,0,0,3,3
gene_1672,0,0,0,0,0,0,0,0,0
gene_1698,0,0,0,0,0,0,0,0,0
gene_1699,0,0,0,0,0,0,0,2,0
gene_1756,0,0,2,0,5,2,18,8,13
gene_1787,0,0,0,0,0,0,0,9,16
gene_1788,0,0,7,0,0,0,23,12,0
gene_1791,0,0,4,0,6,0,13,16,4
gene_1823,0,11,16,0,14,5,51,16,23
gene_1828,0,0,0,0,0,0,13,17,15
gene_1840,0,0,7,3,2,0,17,20,18
gene_1852,0,0,0,4,0,0,4,0,4
gene_1855,0,0,0,0,0,0,3,7,5
gene_1863,0,6,10,0,10,0,236,104,125
gene_1870,0,0,3,1,3,0,18,11,29
gene_1942,0,0,0,0,0,3,28,23,20
gene_1948,0,0,0,0,1,0,1,1,1
gene_1958,0,2,19,0,1,1,28,14,10
gene_1959,0,0,0,0,5,0,15,21,11
gene_1974,0,0,0,0,3,0,3,10,11
gene_2023,0,0,0,0,0,0,8,4,3
gene_2037,0,0,0,0,0,0,0,0,0
gene_2038,0,0,0,0,0,0,17,3,0
gene_2039,0,4,0,0,0,0,3,10,0
gene_2064,0,0,0,0,0,0,0,0,0
gene_2078,0,5,0,0,11,6,0,4,7
gene_2079,0,0,6,14,16,0,44,28,22
gene_2082,0,0,0,0,0,0,3,0,6
gene_2088,0,0,0,0,0,0,8,0,0
gene_2093,0,0,0,0,0,0,6,5,0
gene_2101,0,0,4,0,3,0,18,8,4
gene_2126,0,0,31,15,24,14,145,71,63
gene_2129,0,1,2,0,2,0,1,1,7
gene_2139,0,5,11,0,0,0,58,45,55
gene_25,22,20,36,27,10,8,208,126,111
gene_26,3684,1882,3259,1213,2147,700,5669,3833,4013
gene_27,1951,950,2218,890,2496,827,7058,4616,5199
gene_29,3,6,11,2,15,0,21,17,38
gene_30,31,13,32,12,32,10,244,163,181
gene_31,43,22,60,10,50,16,102,56,51
gene_32,500,145,728,250,1274,380,4919,5207,3897
gene_33,12192,5139,14016,5485,15700,4977,98277,65407,73850
gene_34,356,160,507,214,622,185,2277,1303,1578
gene_35,2953,1364,3373,1374,5125,1797,16744,10039,11866
gene_37,1941,795,1475,699,1348,476,2984,2416,2399
gene_38,1569,674,1622,705,1711,563,8715,5134,5598
gene_40,701,278,677,253,667,227,4047,2602,2818
gene_41,1813,817,2736,1167,3537,1157,15667,8847,10877
gene_42,144,46,99,44,166,53,703,354,421
gene_43,1840,750,2151,935,2433,755,9230,5115,6124
gene_44,2112,986,2645,1114,3083,1098,13833,7388,9129
gene_45,7,3,5,5,9,0,193,130,173
gene_46,71,17,35,12,40,29,335,214,242
gene_51,38,0,29,16,45,0,531,294,266
gene_52,1290,621,1519,702,1559,569,22846,11302,15083
gene_55,102,60,100,30,62,19,753,415,491
gene_56,7,0,9,0,4,0,90,84,75
gene_59,55,18,54,28,47,11,338,184,197
gene_60,394,163,321,138,406,137,2696,1802,1890
gene_61,253,109,304,135,360,147,1505,1156,1257
gene_62,8,5,5,0,4,0,19,27,45
gene_65,563,249,669,304,845,311,5747,4539,4726
gene_66,322,152,263,79,265,88,1255,728,900
gene_67,501,277,623,277,945,248,3991,2163,2584
gene_68,278,137,240,103,348,151,1006,604,609
gene_69,559,214,569,257,775,224,2314,1474,1614
gene_71,2399,1039,3317,1354,4543,1551,19109,11295,14642
gene_72,14,2,14,8,44,5,198,132,173
gene_74,24,9,43,10,81,13,253,234,236
gene_75,68,26,91,30,95,9,488,374,317
gene_77,17,8,31,15,60,20,324,168,185
gene_78,244,111,459,142,551,223,1468,1711,1412
gene_79,222,100,298,145,487,202,1189,925,747
gene_80,660,324,680,275,670,241,2392,2048,1710
gene_84,9,5,19,4,10,0,44,34,62
gene_85,133,65,155,62,146,34,645,471,486
gene_86,73,25,62,49,88,24,216,122,209
gene_87,131,66,142,82,152,42,757,548,466
gene_88,56,52,156,67,161,65,836,515,513
gene_89,27,19,39,10,8,0,58,22,41
gene_91,501,133,282,108,253,60,754,452,487
gene_94,4,0,3,0,16,0,17,5,0
gene_96,12,0,6,0,6,0,33,27,17
gene_97,10017,4217,8933,3742,7235,2449,48013,33779,34907
gene_99,529,218,479,141,409,120,1849,1315,1167
gene_100,1732,846,2198,945,2536,820,15289,8333,10247
gene_101,109,53,138,29,207,65,202,358,80
gene_104,86,33,69,17,45,14,379,206,238
gene_106,37,14,37,10,78,13,374,263,243
gene_107,7115,2969,5916,2594,6093,2368,13948,10493,9637
gene_108,622,300,875,346,1437,558,1968,1227,1796
gene_109,1497,688,1639,632,1658,539,3352,2612,1929
gene_110,9,0,0,0,19,4,17,9,26
gene_111,230,104,223,127,319,66,1003,695,744
gene_112,3,0,6,0,5,0,9,13,11
gene_113,51,16,54,16,23,8,257,148,179
gene_114,1170,454,1559,647,2186,698,11592,7711,7715
gene_115,9,6,0,0,8,0,37,16,18
gene_116,118,51,104,28,121,32,224,114,147
gene_117,20,18,17,13,18,0,122,74,44
gene_119,315,151,367,156,980,320,6283,1501,1717
gene_120,10,0,0,3,0,3,10,0,2
gene_121,32,11,52,21,18,11,164,107,162
gene_122,343,143,468,161,640,201,2788,1590,2137
gene_126,946,498,897,453,694,233,3166,1137,1400
gene_127,34520,16897,35936,16481,30150,10370,351979,260704,228743
gene_128,1458,666,1023,488,717,277,3162,2416,2155
gene_129,34,15,35,23,16,0,133,23,77
gene_130,15,0,9,0,5,6,66,40,39
gene_131,8,12,45,21,35,0,330,206,280
gene_132,26,7,20,9,13,9,41,53,31
gene_133,368,177,321,163,384,156,1750,914,1126
gene_134,229,107,145,79,158,55,636,344,376
gene_135,36,7,26,24,35,26,245,159,212
gene_136,188,87,149,63,181,58,1267,620,684
gene_137,2130,880,2367,970,2828,930,8041,4517,5890
gene_138,20,16,81,40,73,24,284,166,188
gene_139,59,20,47,25,45,23,221,173,186
gene_141,14,10,0,0,0,0,72,12,18
gene_142,26,8,43,0,46,14,154,132,78
gene_146,448,254,584,248,832,321,4607,2734,3185
gene_147,86,47,94,44,99,24,643,365,339
gene_152,78,44,56,24,46,6,309,173,207
gene_153,174,65,131,54,134,46,594,485,492
gene_154,5,0,3,0,7,3,24,18,2
gene_156,15,4,8,10,1,0,78,26,35
gene_157,115,39,75,36,112,27,489,299,237
gene_158,13,0,11,2,35,15,225,105,76
gene_159,10,0,14,10,21,7,174,28,38
gene_160,2697,1363,3858,1723,4876,1764,21012,18561,14385
gene_161,38,3,40,15,28,12,162,192,118
gene_162,37,27,74,25,30,19,152,120,124
gene_164,13,11,18,0,13,5,87,29,54
gene_166,259,113,182,81,154,77,562,320,308
gene_167,574,205,642,254,1102,284,4712,2954,3009
gene_168,389,166,529,208,672,211,2879,1615,1893
gene_169,69,12,51,19,107,33,183,136,111
gene_170,578,212,609,306,686,261,1972,1295,1462
gene_171,1506,660,1321,490,1290,486,4853,3425,3416
gene_172,57,29,113,60,210,122,402,219,320
gene_181,10,10,8,3,17,14,91,56,54
gene_184,201,73,132,56,104,35,1958,1263,1201
gene_186,28,12,32,19,29,19,195,125,106
gene_189,4,0,0,0,21,0,0,0,5
gene_190,38,19,34,23,36,16,390,203,214
gene_191,4,4,6,0,1,3,16,31,23
gene_192,620,254,833,289,1037,329,3149,1795,2088
gene_193,290,105,405,133,451,153,1981,1371,1230
gene_194,570,239,486,257,466,182,2160,1364,1547
gene_195,219,127,279,108,342,125,1570,955,889
gene_196,108,29,159,51,79,20,309,269,229
gene_197,452,169,551,225,689,213,3425,2381,2532
gene_198,1195,439,1158,440,1322,498,3680,2968,2321
gene_199,408,156,354,148,510,194,1089,867,758
gene_200,22,15,29,11,29,9,204,100,92
gene_201,466,171,584,229,557,186,2478,1781,1898
gene_202,55,15,43,19,80,24,410,273,266
gene_203,126,60,142,49,192,72,464,308,296
gene_204,74,16,70,15,85,23,286,189,247
gene_205,592,269,565,255,596,178,2633,1585,2008
gene_207,384,152,326,148,397,107,2472,1641,1809
gene_208,2616,1035,3323,1350,3869,1278,16124,9757,11876
gene_209,2039,794,2401,984,2686,877,16658,9010,11420
gene_210,298,124,257,147,286,92,2004,1344,1358
gene_211,190,37,203,50,170,59,837,542,618
gene_212,18358,7960,18575,7532,16480,5251,121398,83729,86348
gene_213,3239,1462,3588,1336,3824,1343,18556,11825,13105
gene_214,1174,520,1049,411,835,301,3659,2672,2610
gene_215,927,492,810,395,850,287,3473,2299,2257
gene_218,145,91,149,80,225,113,1018,771,681
gene_219,420,192,468,148,425,132,2788,1487,1549
gene_220,168,72,229,80,341,120,1052,725,736
gene_221,1086,439,1351,535,1433,484,7469,3713,5091
gene_222,68,23,70,29,18,7,337,167,204
gene_223,426,234,410,175,236,94,1247,729,777
gene_224,780,440,806,269,1002,400,1837,1328,1280
gene_225,439,190,383,180,679,174,2541,1377,1957
gene_226,126,40,112,57,128,24,766,488,497
gene_227,2886,1314,2491,1093,2130,805,12198,7612,8509
gene_228,65,42,70,38,131,33,376,214,296
gene_229,767,337,695,348,749,296,3189,1951,2129
gene_230,5034,2281,5384,2243,5519,1779,47234,29376,33306
gene_231,5,6,3,0,27,7,14,0,0
gene_232,58,29,69,35,75,28,370,202,281
gene_233,2124,1000,1933,764,1889,709,4925,2708,2844
gene_234,1113,463,896,470,1118,335,3920,2358,2615
gene_235,25,18,13,9,12,4,64,37,24
gene_237,27,25,30,9,44,14,194,145,156
gene_238,582,292,779,303,604,203,2807,2625,2288
gene_239,70,33,51,14,48,14,184,159,124
gene_240,1420,645,1830,650,2639,813,16763,9303,12363
gene_241,936,483,850,354,729,269,2428,1417,1612
gene_242,194,75,144,71,317,129,663,406,439
gene_243,202,99,249,70,331,103,1897,946,1187
gene_244,15,6,13,4,40,19,312,233,278
gene_246,2428,1046,3213,1289,5099,1499,8778,5356,6685
gene_247,5362,2124,5734,2350,8023,2545,26617,17950,18290
gene_248,2762,1288,2589,1049,2433,850,7068,4721,5117
gene_249,150,36,192,50,142,66,667,397,471
gene_250,621,266,705,239,872,293,3122,1915,2441
gene_251,310,156,531,217,919,274,2038,1055,1510
gene_252,353,144,292,153,226,66,1320,773,821
gene_253,30,16,28,12,50,20,201,99,121
gene_254,14,4,15,7,7,4,87,56,77
gene_257,1402,684,2075,842,2901,1001,8588,5599,5594
gene_258,70,19,96,9,170,98,2252,499,443
gene_259,4,4,0,0,4,4,2,3,0
gene_260,2530,1075,2221,853,2335,653,7549,4779,5288
gene_261,3904,1572,5253,2059,5381,1730,29283,18465,22498
gene_262,552,264,554,220,688,176,3117,1703,1819
gene_263,98,31,80,28,127,30,256,205,173
gene_264,9,3,3,0,4,0,8,16,13
gene_265,138,44,147,79,173,49,439,298,296
gene_266,587,248,755,329,1053,378,3427,1911,2541
gene_267,72,61,84,51,86,17,262,187,169
gene_268,361,140,447,203,583,260,2893,1613,1633
gene_270,2179,998,2381,894,2412,794,10313,5893,7040
gene_272,465,159,422,212,308,106,1389,812,915
gene_273,151,58,124,30,197,55,814,470,487
gene_274,381,142,308,113,387,107,1260,775,865
gene_275,28,10,31,9,33,12,140,50,108
